,product_id,product_name,product_type,product_colors,product_price,product_composition_shell,product_composition_pocket,scrapy_datetime
2,0690449067,Skinny Jeans,men_jeans_ripped,Light denim gray/Trashed,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Gray,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Black/patterned,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
2,0690449067,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Light denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Black/washed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Black washed out,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,White,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Black/washed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Dark denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Black/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Dark blue/Trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Dark blue/washed out,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Black,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Denim gray,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Light denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Light denim gray/Trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Gray,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Black/patterned,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
3,0690449036,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Light denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Black/washed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Black washed out,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,White,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Black/washed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Dark denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Black/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Dark blue/Trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Dark blue/washed out,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Black,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Denim gray,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Light denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Light denim gray/Trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Gray,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Black/patterned,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
4,0690449022,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Light denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Black/washed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Black washed out,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,White,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Black/washed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Dark denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Black/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Dark blue/Trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Dark blue/washed out,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Black,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Denim gray,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Light denim blue/trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Light denim gray/Trashed,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Gray,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Light denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Black/patterned,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
5,0690449051,Skinny Jeans,men_jeans_ripped,Denim blue,$ 39.99,"Cotton 98%, Spandex 2%",,2022-12-15 20:56:55
6,1008549001,Regular Jeans,men_jeans_regular,Light denim blue,$ 24.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
6,1008549001,Regular Jeans,men_jeans_regular,Denim blue,$ 24.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
6,1008549001,Regular Jeans,men_jeans_regular,Dark gray,$ 24.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
6,1008549001,Regular Jeans,men_jeans_regular,Dark blue,$ 24.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
6,1008549001,Regular Jeans,men_jeans_regular,Dark denim blue,$ 24.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
6,1008549001,Regular Jeans,men_jeans_regular,Black,$ 24.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
6,1008549001,Regular Jeans,men_jeans_regular,Light gray,$ 24.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
6,1008549001,Regular Jeans,men_jeans_regular,Light denim blue,$ 24.99,"Cotton 98%, Spandex 2%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
7,1008549006,Regular Jeans,men_jeans_regular,Light denim blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
7,1008549006,Regular Jeans,men_jeans_regular,Denim blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
7,1008549006,Regular Jeans,men_jeans_regular,Dark gray,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
7,1008549006,Regular Jeans,men_jeans_regular,Dark blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
7,1008549006,Regular Jeans,men_jeans_regular,Dark denim blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
7,1008549006,Regular Jeans,men_jeans_regular,Black,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
7,1008549006,Regular Jeans,men_jeans_regular,Light gray,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
7,1008549006,Regular Jeans,men_jeans_regular,Light denim blue,$ 24.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
8,1024256007,Slim Jeans,men_jeans_slim,Black,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
8,1024256007,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
8,1024256007,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
8,1024256007,Slim Jeans,men_jeans_slim,Denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
8,1024256007,Slim Jeans,men_jeans_slim,Dark blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
8,1024256007,Slim Jeans,men_jeans_slim,Dark denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
8,1024256007,Slim Jeans,men_jeans_slim,Dark gray,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
8,1024256007,Slim Jeans,men_jeans_slim,White,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
9,1024256003,Slim Jeans,men_jeans_slim,Black,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
9,1024256003,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
9,1024256003,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
9,1024256003,Slim Jeans,men_jeans_slim,Denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
9,1024256003,Slim Jeans,men_jeans_slim,Dark blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
9,1024256003,Slim Jeans,men_jeans_slim,Dark denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
9,1024256003,Slim Jeans,men_jeans_slim,Dark gray,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
9,1024256003,Slim Jeans,men_jeans_slim,White,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
10,0985159007,Skinny Jeans,men_jeans_skinny,Black,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
10,0985159007,Skinny Jeans,men_jeans_skinny,Denim blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
10,0985159007,Skinny Jeans,men_jeans_skinny,Dark gray,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
10,0985159007,Skinny Jeans,men_jeans_skinny,Light denim blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
10,0985159007,Skinny Jeans,men_jeans_skinny,Dark blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
10,0985159007,Skinny Jeans,men_jeans_skinny,Dark denim blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
10,0985159007,Skinny Jeans,men_jeans_skinny,Denim blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
10,0985159007,Skinny Jeans,men_jeans_skinny,Dark gray,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
11,1024256004,Slim Jeans,men_jeans_slim,Black,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
11,1024256004,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
11,1024256004,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
11,1024256004,Slim Jeans,men_jeans_slim,Denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
11,1024256004,Slim Jeans,men_jeans_slim,Dark blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
11,1024256004,Slim Jeans,men_jeans_slim,Dark denim blue,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
11,1024256004,Slim Jeans,men_jeans_slim,Dark gray,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
11,1024256004,Slim Jeans,men_jeans_slim,White,$ 19.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
12,0979945001,Loose Jeans,men_jeans_loose,Light denim blue,$ 39.99,Cotton 100%,"Polyester 65%, Cotton 35%",2022-12-15 20:56:55
12,0979945001,Loose Jeans,men_jeans_loose,Denim blue,$ 39.99,Cotton 100%,"Polyester 65%, Cotton 35%",2022-12-15 20:56:55
12,0979945001,Loose Jeans,men_jeans_loose,Black,$ 39.99,Cotton 100%,"Polyester 65%, Cotton 35%",2022-12-15 20:56:55
12,0979945001,Loose Jeans,men_jeans_loose,Light gray,$ 39.99,Cotton 100%,"Polyester 65%, Cotton 35%",2022-12-15 20:56:55
12,0979945001,Loose Jeans,men_jeans_loose,Gray,$ 39.99,Cotton 100%,"Polyester 65%, Cotton 35%",2022-12-15 20:56:55
12,0979945001,Loose Jeans,men_jeans_loose,Black/patterned,$ 39.99,Cotton 100%,"Polyester 65%, Cotton 35%",2022-12-15 20:56:55
12,0979945001,Loose Jeans,men_jeans_loose,Purple,$ 39.99,Cotton 100%,"Polyester 65%, Cotton 35%",2022-12-15 20:56:55
13,1024711006,Slim Jeans,men_jeans_slim,Black,$ 29.99,"Cotton 98%, Spandex 2%",Cotton 100%,2022-12-15 20:56:55
13,1024711006,Slim Jeans,men_jeans_slim,Light denim blue,$ 29.99,"Cotton 98%, Spandex 2%",Cotton 100%,2022-12-15 20:56:55
13,1024711006,Slim Jeans,men_jeans_slim,Light denim blue,$ 29.99,"Cotton 98%, Spandex 2%",Cotton 100%,2022-12-15 20:56:55
13,1024711006,Slim Jeans,men_jeans_slim,Dark denim blue,$ 29.99,"Cotton 98%, Spandex 2%",Cotton 100%,2022-12-15 20:56:55
13,1024711006,Slim Jeans,men_jeans_slim,Dark denim gray,$ 29.99,"Cotton 98%, Spandex 2%",Cotton 100%,2022-12-15 20:56:55
13,1024711006,Slim Jeans,men_jeans_slim,Dark blue,$ 29.99,"Cotton 98%, Spandex 2%",Cotton 100%,2022-12-15 20:56:55
13,1024711006,Slim Jeans,men_jeans_slim,Denim blue,$ 29.99,"Cotton 98%, Spandex 2%",Cotton 100%,2022-12-15 20:56:55
13,1024711006,Slim Jeans,men_jeans_slim,Black,$ 29.99,"Cotton 98%, Spandex 2%",Cotton 100%,2022-12-15 20:56:55
14,0985159008,Skinny Jeans,men_jeans_skinny,Black,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
14,0985159008,Skinny Jeans,men_jeans_skinny,Denim blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
14,0985159008,Skinny Jeans,men_jeans_skinny,Dark gray,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
14,0985159008,Skinny Jeans,men_jeans_skinny,Light denim blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
14,0985159008,Skinny Jeans,men_jeans_skinny,Dark blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
14,0985159008,Skinny Jeans,men_jeans_skinny,Dark denim blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
14,0985159008,Skinny Jeans,men_jeans_skinny,Denim blue,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
14,0985159008,Skinny Jeans,men_jeans_skinny,Dark gray,$ 24.99,"Cotton 99%, Spandex 1%","Polyester 65%, Cotton 35%",2022-12-15 20:56:55
15,1024256006,Slim Jeans,men_jeans_slim,Black,$ 19.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
15,1024256006,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
15,1024256006,Slim Jeans,men_jeans_slim,Light denim blue,$ 19.99,"Cotton 99%, Spandex 1%",Cotton 100%,2022-12-15 20:56:55
